ID,Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Influence,Creativity,Threat,ICT Index,BPS,Chance Of Playing,News,Days Since News Added,Selected By Percent,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Direct_Freekick_or_Penalty,Indirect_Freekick_or_Corner,Clean Sheet Adder,Goal Scored Adder,Assists Adder,Penalty Missed Adder,Penalties Saved Adder,3_Shot Save Adder,2_Goals Conceded Adder,Yellow Card Adder,Red Card Adder,Own Goal Adder,EP Next,Goal Contributions,Goals per 90,Assists per 90,Threat per 90
252,Raúl,Forward,Fulham,5.7,39,4.9,7,7.0,177.2,66.6,260.0,50.6,151,100,No news,,8.8,426,4,1,2,7,1.48,0,0,0,0,0,0,7,1,0,0,4,3,-2,5,0,0,-1,-3,-2,7.0,5,0.8450704225352113,0.2112676056338028,54.92957746478873
514,Bowen,Midfielder,West Ham,7.4,38,4.8,2,5.3,202.0,268.4,224.0,69.4,144,100,No news,,5.4,697,2,3,1,14,1.81,0,0,0,0,0,0,2,1,1,1,5,3,-2,5,0,0,-1,-3,-2,5.3,5,0.2582496413199426,0.38737446197991393,28.923959827833574
491,Johnson,Midfielder,Spurs,6.7,38,4.8,2,6.7,151.0,111.8,326.0,59.0,120,100,No news,,9.9,603,3,2,2,8,1.19,0,0,0,1,0,0,1,0,0,1,5,3,-2,5,0,0,-1,-3,-2,7.2,5,0.44776119402985076,0.29850746268656714,48.656716417910445
326,Konaté,Defender,Liverpool,5.3,38,4.8,1,4.7,179.4,29.8,46.0,25.7,161,100,No news,,13.0,659,1,1,4,3,0.41,0,0,0,3,0,0,1,0,0,4,6,3,-2,5,0,-1,-1,-3,-2,4.7,2,0.13657056145675267,0.13657056145675267,6.282245827010622
354,Kovačić,Midfielder,Man City,5.6,38,4.8,2,6.0,194.4,167.4,57.0,41.9,177,100,No news,61.0,3.8,608,3,1,1,9,1.33,0,0,0,2,0,0,7,0,0,1,5,3,-2,5,0,0,-1,-3,-2,7.5,4,0.4440789473684211,0.14802631578947367,8.4375
185,Sánchez,Goalkeeper,Chelsea,4.7,38,4.8,2,2.7,273.2,0.0,0.0,27.2,151,100,No news,,11.9,720,0,0,2,10,1.25,0,1,0,1,0,36,5,0,0,4,10,3,-2,5,12,-5,-1,-3,-2,3.2,0,0.0,0.0,0.0
339,Virgil,Defender,Liverpool,6.0,38,4.8,2,4.0,157.6,29.3,43.0,22.9,172,100,No news,,15.1,720,0,0,5,3,0.38,0,0,0,1,0,0,3,1,0,4,6,3,-2,5,0,-1,-1,-3,-2,4.0,0,0.0,0.0,5.375
15,Raya,Goalkeeper,Arsenal,5.7,37,4.6,1,1.3,224.4,0.0,0.0,22.5,124,100,No news,28.0,31.3,720,0,0,3,8,1.0,0,0,0,1,0,27,6,0,0,4,10,3,-2,5,9,-4,-1,-3,-2,1.3,0,0.0,0.0,0.0
443,Sels,Goalkeeper,Nottm Forest,4.5,37,4.6,11,5.3,202.4,0.1,0.0,20.3,125,100,No news,12.0,3.7,720,0,0,3,6,0.75,0,0,0,2,0,26,6,0,0,4,10,3,-2,5,8,-3,-1,-3,-2,5.3,0,0.0,0.0,0.0
369,Dalot,Defender,Man Utd,5.1,36,4.5,1,2.3,144.2,105.7,30.0,27.8,155,100,No news,,10.3,720,0,1,4,9,1.12,0,0,0,2,0,0,6,0,0,4,6,3,-2,5,0,-4,-1,-3,-2,2.3,1,0.0,0.125,3.75
310,A.Becker,Goalkeeper,Liverpool,5.4,35,5.8,0,4.0,126.8,0.0,0.0,12.6,131,0,Hamstring injury,19.0,6.7,528,0,0,4,2,0.34,0,0,0,0,0,15,5,0,0,4,10,3,-2,5,5,-1,-1,-3,-2,0.0,0,0.0,0.0,0.0
317,Diogo J.,Midfielder,Liverpool,7.4,35,5.0,1,5.7,105.0,55.1,157.0,31.6,85,75,Knock,3.0,7.4,492,2,3,4,1,0.18,0,0,0,1,0,0,1,0,0,1,5,3,-2,5,0,0,-1,-3,-2,4.3,5,0.36585365853658536,0.5487804878048781,28.71951219512195
9,Martinelli,Midfielder,Arsenal,7.0,35,4.4,1,6.7,157.8,149.3,188.0,49.4,124,100,No news,6.0,4.0,464,2,2,3,5,0.97,0,0,0,0,0,0,3,0,0,1,5,3,-2,5,0,0,-1,-3,-2,6.7,4,0.3879310344827586,0.3879310344827586,36.46551724137931
19,Smith Rowe,Midfielder,Fulham,5.7,35,4.4,1,1.7,131.6,105.5,94.0,33.2,131,100,No news,,26.2,548,2,1,3,7,1.15,0,0,0,1,0,0,5,0,0,1,5,3,-2,5,0,0,-1,-3,-2,1.7,3,0.3284671532846716,0.1642335766423358,15.437956204379564
117,Buonanotte,Midfielder,Leicester,5.0,34,4.9,6,7.0,195.0,150.1,127.0,47.2,129,100,No news,,1.7,459,3,2,1,7,1.37,0,0,0,3,0,0,3,0,1,1,5,3,-2,5,0,0,-1,-3,-2,7.0,5,0.5882352941176471,0.3921568627450981,24.901960784313726
413,Pope,Goalkeeper,Newcastle,5.0,34,4.2,3,4.0,251.2,0.0,0.0,25.1,129,100,No news,22.0,7.0,720,0,0,2,8,1.0,0,0,0,0,0,35,2,0,0,4,10,3,-2,5,11,-4,-1,-3,-2,3.5,0,0.0,0.0,0.0
54,Rogers,Midfielder,Aston Villa,5.4,34,4.2,6,5.3,167.8,141.4,168.0,47.9,112,100,No news,,22.8,685,2,2,1,9,1.18,0,0,0,2,0,0,3,0,0,1,5,3,-2,5,0,0,-1,-3,-2,5.3,4,0.26277372262773724,0.26277372262773724,22.072992700729927
566,Strand Larsen,Forward,Wolves,5.5,34,4.2,9,5.7,141.8,57.9,145.0,34.2,132,100,No news,,1.3,643,3,1,1,19,2.66,0,0,0,0,0,0,3,0,0,0,4,3,-2,5,0,0,-1,-3,-2,5.7,4,0.41990668740279935,0.1399688958009331,20.2954898911353
268,Delap,Forward,Ipswich,5.7,33,4.1,2,6.7,155.6,63.9,165.0,38.1,128,100,No news,,5.8,615,4,0,0,15,2.2,0,0,0,2,0,0,4,0,0,0,4,3,-2,5,0,0,-1,-3,-2,6.7,4,0.5853658536585367,0.0,24.146341463414636
350,Gvardiol,Defender,Man City,6.1,33,4.1,10,6.7,217.0,125.3,151.0,49.4,144,100,No news,,26.6,672,2,0,1,8,1.07,0,0,0,0,0,0,4,0,0,4,6,3,-2,5,0,-4,-1,-3,-2,8.2,2,0.26785714285714285,0.0,20.223214285714285
492,Kulusevski,Midfielder,Spurs,6.2,33,4.1,9,7.0,179.4,287.3,229.0,69.4,125,100,No news,,2.8,617,2,1,2,8,1.17,0,0,0,2,0,0,5,0,1,1,5,3,-2,5,0,0,-1,-3,-2,7.5,3,0.29173419773095627,0.14586709886547813,33.40356564019449
78,Semenyo,Midfielder,Bournemouth,5.6,33,4.1,2,3.7,176.4,122.5,290.0,58.5,117,100,No news,,8.6,697,3,1,1,10,1.29,0,0,0,3,0,0,1,0,0,1,5,3,-2,5,0,0,-1,-3,-2,3.7,4,0.38737446197991393,0.1291248206599713,37.44619799139168
512,Antonio,Forward,West Ham,5.4,32,4.0,2,8.3,54.2,53.9,136.0,23.6,87,100,No news,,2.7,487,1,4,1,10,1.85,0,0,0,1,0,0,3,0,0,0,4,3,-2,5,0,0,-1,-3,-2,8.3,5,0.18480492813141683,0.7392197125256673,25.13347022587269
541,Cunha,Forward,Wolves,6.5,32,4.0,2,4.3,172.0,184.7,198.0,55.5,168,100,No news,,2.7,616,3,0,0,20,2.92,0,0,0,1,0,0,6,1,0,0,4,3,-2,5,0,0,-1,-3,-2,4.3,3,0.4383116883116883,0.0,28.92857142857143
136,Mitoma,Midfielder,Brighton,6.6,32,4.0,1,2.7,152.0,157.8,228.0,53.8,134,100,No news,,6.6,651,1,3,2,10,1.38,0,0,0,0,0,0,1,0,0,1,5,3,-2,5,0,0,-1,-3,-2,2.7,4,0.1382488479262673,0.4147465437788018,31.52073732718894
618,Georginio,Midfielder,Brighton,5.5,31,4.4,6,8.0,99.0,88.5,116.0,29.7,81,100,No news,12.0,0.7,369,2,2,2,8,1.95,0,0,0,0,0,0,1,0,0,1,5,3,-2,5,0,0,-1,-3,-2,8.0,4,0.48780487804878053,0.48780487804878053,28.292682926829272
